x,y,z
-0.500001,2.50321e-07,0.999993
-0.500001,2.50362e-07,0.999993
-0.500001,2.50452e-07,0.999993
-0.500001,2.50557e-07,0.999993
-0.500001,2.50664e-07,0.999993
-0.500001,2.5077e-07,0.999993
-0.500001,2.50875e-07,0.999993
-0.500001,2.5096e-07,0.999993
-0.500001,2.51008e-07,0.999993
-0.499117,-0.0283093,0.999993
-0.493039,-0.0817304,0.999993
-0.481718,-0.133205,0.999993
-0.464277,-0.185529,0.999993
-0.44045,-0.236372,0.999993
-0.412361,-0.28234,0.999993
-0.380261,-0.324379,0.999993
-0.342144,-0.364606,0.999993
-0.299055,-0.400506,0.999993
-0.254626,-0.430023,0.999993
-0.207424,-0.45478,0.999993
-0.155487,-0.475201,0.999993
-0.101608,-0.489375,0.999993
-0.0492633,-0.497325,0.999993
0.0044654,-0.49986,0.999993
0.0606793,-0.496267,0.999993
0.114819,-0.486422,0.999993
0.165419,-0.471601,0.999993
0.215648,-0.451015,0.999993
0.265073,-0.423849,0.999993
0.309617,-0.392313,0.999993
0.349202,-0.357557,0.999993
0.38639,-0.317284,0.999993
0.419688,-0.271558,0.999993
0.446356,-0.22478,0.999993
0.467633,-0.176441,0.999993
0.484414,-0.12386,0.999993
0.495115,-0.0686223,0.999993
0.49953,-0.0150028,0.999993
0.498405,0.0378411,0.999993
0.491262,0.0930598,0.999993
0.477644,0.147227,0.999993
0.459291,0.197,0.999993
0.435636,0.245135,0.999993
0.405533,0.292427,0.999993
0.370573,0.335368,0.999993
0.33292,0.372732,0.999993
0.290971,0.406497,0.999993
0.243386,0.436679,0.999993
0.194086,0.460551,0.999993
0.14454,0.478425,0.999993
0.0914852,0.491509,0.999993
0.0355295,0.498623,0.999993
-0.0186706,0.499414,0.999993
-0.0712121,0.494705,0.999993
-0.125308,0.484034,0.999993
-0.178849,0.466766,0.999993
-0.227841,0.444797,0.999993
-0.273895,0.4181,0.999993
-0.318527,0.38541,0.999993
-0.359493,0.347266,0.999993
-0.394298,0.307058,0.999993
-0.424933,0.263233,0.999993
-0.451792,0.214165,0.999993
-0.472413,0.163164,0.999993
-0.486558,0.114213,0.999993
-0.495999,0.0631387,0.999993
-0.499047,0.0309889,0.999993
-0.499066,0.0297561,0.999993
-0.499174,0.0262992,0.999993
-0.499317,0.0217513,0.999993
-0.499465,0.0170549,0.999993
-0.499612,0.0123584,0.999993
-0.499761,0.00762426,0.999993
-0.499893,0.0034288,0.999993
-0.499981,0.000645765,0.999993
-0.500001,2.49055e-07,0.999993
