x,y,z
-0.514397,-0.0156043,0.999993
-0.489378,-0.0406226,0.999994
-0.433796,-0.096205,0.999995
-0.377552,-0.152449,0.999996
-0.321467,-0.208534,0.999996
-0.286316,-0.243685,0.999997
-0.225052,-0.304948,0.999997
-0.146475,-0.383526,0.999996
-0.0749037,-0.455097,0.999994
-0.0210695,-0.508932,0.999993
-0.00194923,-0.528232,0.999976
0.00332727,-0.526672,1.00062
0.0273515,-0.502649,1.00515
0.0794732,-0.450528,1.01499
0.136194,-0.393807,1.02569
0.188981,-0.341019,1.03565
0.225981,-0.30402,1.04263
0.274957,-0.255044,1.05188
0.350914,-0.179088,1.06621
0.424897,-0.105105,1.08016
0.489533,-0.0404695,1.09236
0.522598,-0.0074066,1.0986
0.529874,0.000570879,1.10003
0.517693,0.0123083,1.09999
0.475915,0.0540868,1.09999
0.420821,0.109181,1.1
0.364417,0.165584,1.1
0.311418,0.218584,1.1
0.277731,0.252271,1.1
0.241283,0.288719,1.1
0.166317,0.363685,1.1
0.0926419,0.43736,1.1
0.0314168,0.498586,1.09999
0.00429054,0.52572,1.09999
-0.00150168,0.52893,1.09975
-0.0174269,0.512575,1.0967
-0.0637043,0.466297,1.08797
-0.118272,0.411729,1.07768
-0.17433,0.355671,1.0671
-0.20913,0.320871,1.06054
-0.249199,0.280802,1.05298
-0.314684,0.215317,1.04062
-0.392583,0.137418,1.02592
-0.462862,0.0671387,1.01266
-0.512075,0.0179266,1.00338
-0.528887,0.00110319,1.0002
-0.530001,2.59511e-07,0.999992
